model,n_total,overall_acc,sfr,vgr,pr,pr_n,neg_acc,sdr,lpl,tr_coh,acc_original,acc_tcf,acc_negation,acc_specificity_drop,acc_knowledge_only,acc_halluc_trap,acc_lr_flip,acc_roi_only,acc_roi_masked,n_original,n_tcf,n_negation,n_specificity_drop,n_knowledge_only,n_halluc_trap,n_lr_flip,n_roi_only,n_roi_masked
Qwen--Qwen3.5-397B-A17B,2556,0.46830985915492956,0.5433333333333333,0.23958333333333331,0.7366666666666667,300,0.3333333333333333,0.4268292682926829,0.9222614840989399,nan,0.53,0.53,0.3333333333333333,0.4268292682926829,0.9222614840989399,0.45666666666666667,0.43,0.3020833333333333,0.0625,300,300,225,164,283,600,300,192,192
Qwen--Qwen3.5-9B,2556,0.39397496087636935,0.6283333333333333,0.12499999999999999,0.72,300,0.28444444444444444,0.3231707317073171,0.8445229681978799,nan,0.43333333333333335,0.48,0.28444444444444444,0.3231707317073171,0.8445229681978799,0.37166666666666665,0.34,0.19791666666666666,0.07291666666666667,300,300,225,164,283,600,300,192,192
claude-haiku-4-5-20251001,2556,0.4964788732394366,0.49,-0.09375000000000003,0.6333333333333333,300,0.3244444444444444,0.42073170731707316,0.9752650176678446,nan,0.4666666666666667,0.51,0.3244444444444444,0.42073170731707316,0.9752650176678446,0.51,0.5066666666666667,0.21354166666666666,0.3072916666666667,300,300,225,164,283,600,300,192,192
claude-opus-4-7,2556,0.7652582159624414,0.22,0.22916666666666669,0.8466666666666667,300,0.8311111111111111,0.7987804878048781,0.9858657243816255,nan,0.7866666666666666,0.78,0.8311111111111111,0.7987804878048781,0.9858657243816255,0.78,0.7233333333333334,0.6458333333333334,0.4166666666666667,300,300,225,164,283,600,300,192,192
claude-sonnet-4-6,2556,0.6122848200312989,0.41333333333333333,0.18229166666666666,0.7533333333333333,300,0.6088888888888889,0.5670731707317073,0.9787985865724381,nan,0.6333333333333333,0.6633333333333333,0.6088888888888889,0.5670731707317073,0.9787985865724381,0.5866666666666667,0.6333333333333333,0.421875,0.23958333333333334,300,300,225,164,283,600,300,192,192
deepseek-v4-flash,2556,0.3337245696400626,0.4266666666666667,-0.8645833333333334,0.9033333333333333,300,0.06666666666666667,0.04878048780487805,0.9929328621908127,nan,0.04,0.043333333333333335,0.06666666666666667,0.04878048780487805,0.9929328621908127,0.5733333333333334,0.03333333333333333,0.010416666666666666,0.875,300,300,225,164,283,600,300,192,192
deepseek-v4-pro,2556,0.3474178403755869,0.37833333333333335,-0.9635416666666667,0.9333333333333333,300,0.06222222222222222,0.018292682926829267,0.9929328621908127,nan,0.016666666666666666,0.05,0.06222222222222222,0.018292682926829267,0.9929328621908127,0.6216666666666667,0.02666666666666667,0.010416666666666666,0.9739583333333334,300,300,225,164,283,600,300,192,192
gemini-3-flash-preview,2556,0.7194835680751174,0.37166666666666665,0.41145833333333337,0.84,300,0.7555555555555555,0.7621951219512195,0.9893992932862191,nan,0.77,0.8066666666666666,0.7555555555555555,0.7621951219512195,0.9893992932862191,0.6283333333333333,0.7566666666666667,0.6927083333333334,0.28125,300,300,225,164,283,600,300,192,192
gemini-3.1-flash-lite-preview,2556,0.7065727699530516,0.22333333333333333,0.49479166666666674,0.84,300,0.6311111111111111,0.7073170731707317,0.9893992932862191,nan,0.73,0.7566666666666667,0.6311111111111111,0.7073170731707317,0.9893992932862191,0.7766666666666666,0.6966666666666667,0.6302083333333334,0.13541666666666666,300,300,225,164,283,600,300,192,192
gpt-4o,2556,0.5610328638497653,0.53,0.036458333333333315,0.7,300,0.4577777777777778,0.5060975609756098,0.9858657243816255,nan,0.5933333333333334,0.6333333333333333,0.4577777777777778,0.5060975609756098,0.9858657243816255,0.47,0.5666666666666667,0.40625,0.3697916666666667,300,300,225,164,283,600,300,192,192
